Station,District LGD Code,District,Tehsil,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm),
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,6/4/2021 8:30,20.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,6/6/2021 8:30,14.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,6/9/2021 8:30,100.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,6/10/2021 8:30,28.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,6/11/2021 8:30,41.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,6/12/2021 8:30,43.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,13-06-2021 08:30,8,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,14-06-2021 08:30,7,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,16-06-2021 08:30,28.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,19-06-2021 08:30,22.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,25-06-2021 08:30,31.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,27-06-2021 08:30,3.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,7/11/2021 8:30,69.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,20-07-2021 08:30,19.1,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,22-07-2021 08:30,114.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,23-07-2021 08:30,6.1,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,24-07-2021 08:30,3.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,26-07-2021 08:30,3.1,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,29-07-2021 08:30,10.4,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,30-07-2021 08:30,7.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,31-07-2021 08:30,5.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,8/10/2021 8:30,24.1,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,17-08-2021 08:30,65.1,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,18-08-2021 08:30,63.1,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,19-08-2021 08:30,110.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,20-08-2021 08:30,11.1,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,21-08-2021 08:30,8.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,23-08-2021 08:30,7.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,30-08-2021 08:30,21.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/1/2021 8:30,8.1,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/3/2021 8:30,65.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/5/2021 8:30,46.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/7/2021 8:30,98.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/8/2021 8:30,12.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/9/2021 8:30,8.1,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/11/2021 8:30,52.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,16-09-2021 08:30,19.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,21-09-2021 08:30,5,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,22-09-2021 08:30,7,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,23-09-2021 08:30,10,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,24-09-2021 08:30,4,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,28-09-2021 08:30,48.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,29-09-2021 08:30,21.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,10/2/2021 8:30,45.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,17-10-2021 08:30,77.1,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,18-10-2021 08:30,21.1,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,25-05-2022 08:30,2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,14-06-2022 08:30,23.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,15-06-2022 08:30,4.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,20-06-2022 08:30,23.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,21-06-2022 08:30,3.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,25-06-2022 08:30,40.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,7/1/2022 8:30,20,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,7/3/2022 8:30,10,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,7/5/2022 8:30,50,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,7/8/2022 8:30,5,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,7/10/2022 8:30,26,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,7/11/2022 8:30,5,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,7/12/2022 8:30,10,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,13-07-2022 08:30,40,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,14-07-2022 08:30,11,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,15-07-2022 08:30,24,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,18-07-2022 08:30,77,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,19-07-2022 08:30,43,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,24-07-2022 08:30,22,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,25-07-2022 08:30,10,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,26-07-2022 08:30,15,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,27-07-2022 08:30,10,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,28-07-2022 08:30,5,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,8/6/2022 8:30,10.4,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,8/7/2022 8:30,19.6,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,8/8/2022 8:30,25.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,8/9/2022 8:30,30,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,8/10/2022 8:30,35,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,8/11/2022 8:30,33,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,13-08-2022 08:30,5,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,14-08-2022 08:30,7,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,15-08-2022 08:30,5,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,16-08-2022 08:30,6,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,27-08-2022 08:30,24,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/1/2022 8:30,15,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/2/2022 8:30,40,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/5/2022 8:30,30,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/6/2022 8:30,26,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/7/2022 8:30,30,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/9/2022 8:30,7,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/11/2022 8:30,15,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,9/12/2022 8:30,135,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,13-09-2022 08:30,43,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,14-09-2022 08:30,25,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,16-09-2022 08:30,10,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,17-09-2022 08:30,11,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,22-09-2022 08:30,7,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,30-09-2022 08:30,12,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,10/6/2022 8:30,170,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,10/7/2022 8:30,36.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,10/10/2022 8:30,43.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,10/11/2022 8:30,65.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,24-06-2023 08:30,10.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,26-06-2023 08:30,12,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,27-06-2023 08:30,24.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,7/5/2023 8:30,34.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,7/6/2023 8:30,15.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,7/7/2023 8:30,30.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,7/11/2023 8:30,42.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,7/12/2023 8:30,44.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,13-07-2023 08:30,142,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,15-07-2023 08:30,103.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,19-07-2023 08:30,45.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,22-07-2023 08:30,88.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,23-07-2023 08:30,115.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,27-07-2023 08:30,10.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,28-07-2023 08:30,13.2,
Adan Dam,500,Yavatmal,DARWHA,20.36805556,77.61888889,8/3/2023 8:30,11.2,
